iter	Logloss
0	0.6886307061
1	0.6840699145
2	0.6792705153
3	0.6748787386
4	0.6699774495
5	0.6659530027
6	0.6619751956
7	0.6576456283
8	0.6533158447
9	0.6496534492
10	0.6454543531
11	0.6411099766
12	0.6363403337
13	0.6331529192
14	0.6291077001
15	0.6249589503
16	0.6214698366
17	0.6171171205
18	0.612850523
19	0.6084816498
20	0.6043983945
21	0.6004909609
22	0.5965770142
23	0.5925190313
24	0.5891668354
25	0.5844336263
26	0.5818612269
27	0.5770221591
28	0.5735597551
29	0.5702478085
30	0.5667327949
31	0.5636109046
32	0.5587896611
33	0.5552670845
34	0.5515679692
35	0.5479426222
36	0.5426137754
37	0.5381196899
38	0.5347531276
39	0.531821847
40	0.528402452
41	0.5257766988
42	0.5221593942
43	0.5189207767
44	0.5154870808
45	0.5113599445
46	0.5080364466
47	0.5047594564
48	0.5017226479
49	0.4987155621
50	0.4955438252
51	0.4922832847
52	0.4893344011
53	0.4859149988
54	0.4833219145
55	0.48098153
56	0.4776302291
57	0.4746134669
58	0.4716294067
59	0.4684172745
60	0.465391604
61	0.4618902688
62	0.458687804
63	0.456149782
64	0.4530789082
65	0.4502265049
66	0.4464747948
67	0.4438847133
68	0.4410649772
69	0.4384499686
70	0.4341999143
71	0.4314523578
72	0.4290152635
73	0.4258383227
74	0.423133002
75	0.4204752513
76	0.4178867136
77	0.4154582718
78	0.4120975494
79	0.4092447387
80	0.4067134678
81	0.4049222904
82	0.4028506181
83	0.3998760206
84	0.3976619823
85	0.3950016375
86	0.3926166258
87	0.3904688916
88	0.3874490661
89	0.384767156
90	0.3821210452
91	0.3801561832
92	0.377174122
93	0.3749751704
94	0.3717283274
95	0.3697571005
96	0.3670295779
97	0.3647602256
98	0.3623020262
99	0.3605688712
100	0.3586056556
101	0.3561513794
102	0.353697721
103	0.351345763
104	0.3496891022
105	0.3475818102
106	0.3455717014
107	0.3438100274
108	0.3413113339
109	0.3391892552
110	0.3371244567
111	0.3352336786
112	0.3331468965
113	0.3304528526
114	0.3281706457
115	0.3259814386
116	0.3234798329
117	0.3216341078
118	0.3197000925
119	0.317563171
120	0.3160240995
121	0.3136879048
122	0.3121871872
123	0.3100866382
124	0.3086382146
125	0.3071827433
126	0.3059099789
127	0.3044567972
128	0.302590896
129	0.3003154601
130	0.2987857733
131	0.2967821947
132	0.2951563341
133	0.2935898121
134	0.2917702756
135	0.29030804
136	0.2885728108
137	0.2866252358
138	0.2850285585
139	0.2836740851
140	0.2820778285
141	0.280694113
142	0.2788493574
143	0.2775161918
144	0.2761053409
145	0.2739755648
146	0.2729056988
147	0.271347306
148	0.2698734756
149	0.2685488582
150	0.2668818448
151	0.2652753153
152	0.2638979535
153	0.2625120844
154	0.2609243616
155	0.2594016954
156	0.2580725529
157	0.2564506484
158	0.2551902232
159	0.2538412577
160	0.252586075
161	0.2516269846
162	0.2506969041
163	0.2494331588
164	0.248209253
165	0.2471597676
166	0.2459475553
167	0.2450540687
168	0.2434182259
169	0.2419413575
170	0.2406781437
171	0.23938107
172	0.2383535538
173	0.2371303326
174	0.2358636611
175	0.2345244691
176	0.2331299177
177	0.2316964763
178	0.2307008901
179	0.2294231953
180	0.2281723742
181	0.2271976467
182	0.2261071086
183	0.2247648533
184	0.2238813221
185	0.222655148
186	0.2210582501
187	0.2200653562
188	0.2189378949
189	0.2180160356
190	0.2167490546
191	0.2154524494
192	0.2140376598
193	0.2130379162
194	0.2120410789
195	0.2108162631
196	0.2094695913
197	0.2079345305
198	0.2067607486
199	0.2059578615
200	0.2049168038
201	0.2038630505
202	0.2024942234
203	0.2016298303
204	0.2006115573
205	0.1998392116
206	0.1986907557
207	0.1972845473
208	0.1962076719
209	0.1954782607
210	0.1946863334
211	0.1937328628
212	0.1928330238
213	0.1919354571
214	0.1910587792
215	0.190173849
216	0.189333931
217	0.1882335177
218	0.1873924402
219	0.1867023562
220	0.1861555564
221	0.1853656394
222	0.1846082234
223	0.1834950583
224	0.1821172314
225	0.1811360153
226	0.1805301892
227	0.1795189227
228	0.1786943402
229	0.1779229628
230	0.1769381374
231	0.1761898822
232	0.1750992794
233	0.1744411156
234	0.1738469554
235	0.1731049412
236	0.1722970366
237	0.1717608309
238	0.1711426379
239	0.1705061372
240	0.1697033165
241	0.1686722074
242	0.1678240242
243	0.1669973043
244	0.16603171
245	0.1650533938
246	0.1640554096
247	0.1633036556
248	0.1626969833
249	0.1618077419
250	0.1610195792
251	0.1603341575
252	0.1594255984
253	0.1587315425
254	0.1580592324
255	0.1570719881
256	0.1561671168
257	0.1555292653
258	0.1550967055
259	0.1538283484
260	0.1532367183
261	0.1525265398
262	0.1518540223
263	0.1512408182
264	0.1503664349
265	0.1497537138
266	0.1492028909
267	0.148442266
268	0.1476653904
269	0.1469759649
270	0.1464839629
271	0.1459096389
272	0.1451658255
273	0.1446864935
274	0.1441555545
275	0.1436474777
276	0.1429806635
277	0.1422976372
278	0.1416696093
279	0.1410190912
280	0.1403799785
281	0.1397028404
282	0.1391259809
283	0.138508137
284	0.1378830468
285	0.1373797104
286	0.1365713094
287	0.1360837849
288	0.1353459299
289	0.1349574633
290	0.1344931525
291	0.1338399007
292	0.1328346096
293	0.131966656
294	0.1314103858
295	0.1308487745
296	0.1301958919
297	0.1295986412
298	0.1289874028
299	0.1283568387
300	0.1277009312
301	0.127334494
302	0.1269341009
303	0.1263606742
304	0.1259166566
305	0.1253464039
306	0.1250515909
307	0.1244575956
308	0.1234667681
309	0.1229073013
310	0.1223597496
311	0.1217926577
312	0.1214177329
313	0.1210634299
314	0.120683737
315	0.1200617173
316	0.1195380383
317	0.1191798089
318	0.1186953617
319	0.1182314614
320	0.1177716903
321	0.117261502
322	0.116496257
323	0.1160797186
324	0.1154303499
325	0.1149822335
326	0.1146404488
327	0.1141489731
328	0.113700148
329	0.1131103095
330	0.1125513263
331	0.1120982472
332	0.1115984209
333	0.1111157855
334	0.1107781069
335	0.1103766715
336	0.1100786226
337	0.1096383899
338	0.1091919857
339	0.1087459206
340	0.1082906399
341	0.1078626445
342	0.107383293
343	0.1069986283
344	0.1065402851
345	0.1060255831
346	0.1054395619
347	0.1047978282
348	0.1043930876
349	0.1040271362
350	0.1035545939
351	0.1031253538
352	0.1028262257
353	0.1024137338
354	0.101942699
355	0.101677509
356	0.1012897243
357	0.1008378679
358	0.1004539161
359	0.1000802371
360	0.09964817911
361	0.09894789159
362	0.09861749421
363	0.09835137767
364	0.09784322647
365	0.09748105641
366	0.09720578375
367	0.09689102599
368	0.0964428113
369	0.09606908209
370	0.09575714916
371	0.09540185258
372	0.09510097291
373	0.09481826148
374	0.09428973539
375	0.09406379483
376	0.09382143776
377	0.09355139562
378	0.09317369929
379	0.09283435334
380	0.09245460672
381	0.09213327872
382	0.09180150681
383	0.09156797794
384	0.09130939213
385	0.0908916335
386	0.09056034077
387	0.09029100548
388	0.08994643199
389	0.08956637436
390	0.08914173331
391	0.08882073249
392	0.08843983284
393	0.08805780028
394	0.08765067149
395	0.0873186087
396	0.08695930083
397	0.08661654081
398	0.08642275344
399	0.08599929075
400	0.08576001163
401	0.08543440178
402	0.08519442805
403	0.08480553584
404	0.08447417808
405	0.0841582228
406	0.08384844991
407	0.08335440329
408	0.08304980472
409	0.08287377879
410	0.08254231438
411	0.08230486895
412	0.08202842761
413	0.08169791879
414	0.08145346493
415	0.08102813959
416	0.08075054724
417	0.08046778025
418	0.08013119048
419	0.0797824337
420	0.07956398161
421	0.07929800185
422	0.0789487495
423	0.07867008171
424	0.07804518406
425	0.07786385428
426	0.07764928064
427	0.0773967513
428	0.07697862653
429	0.07667916375
430	0.07607528546
431	0.07581589626
432	0.0754414883
433	0.07514525141
434	0.07477271929
435	0.07457051756
436	0.07436764772
437	0.07403956481
438	0.07383382501
439	0.07355931699
440	0.07335880495
441	0.07312128437
442	0.07291603982
443	0.07273652287
444	0.07258891751
445	0.07239058135
446	0.07206566664
447	0.07177007661
448	0.07152229202
449	0.07128649083
450	0.0710502881
451	0.07075903613
452	0.07045338894
453	0.0702390592
454	0.07007137973
455	0.06978632845
456	0.06961910932
457	0.06944582968
458	0.06928044563
459	0.06909055912
460	0.06880903973
461	0.0686286881
462	0.06847815801
463	0.06832014168
464	0.06807527968
465	0.06788905753
466	0.06767891241
467	0.06739967625
468	0.06719411942
469	0.06700180631
470	0.06680906841
471	0.06654538709
472	0.06621535745
473	0.06601735598
474	0.065827193
475	0.06558060662
476	0.06537015678
477	0.06522113942
478	0.06501607671
479	0.06477563695
480	0.06454649408
481	0.06440461124
482	0.06416432198
483	0.06396199273
484	0.06377019653
485	0.06365688784
486	0.06343380521
487	0.06323813056
488	0.06292625463
489	0.06276848348
490	0.0625946518
491	0.06236203164
492	0.062164783
493	0.06190911782
494	0.06175657979
495	0.06162123169
496	0.06132205379
497	0.06107655976
498	0.06087284854
499	0.0606674718
500	0.06047286998
501	0.060241584
502	0.06006022724
503	0.05989671025
504	0.05971686366
505	0.05957923234
506	0.05944851445
507	0.0593009234
508	0.05916648182
509	0.05904472337
510	0.0588703048
511	0.05871865329
512	0.0586036011
513	0.05843074987
514	0.05825286795
515	0.05812202037
516	0.05795933695
517	0.0577121882
518	0.05746465671
519	0.05734421802
520	0.0572035558
521	0.05700484397
522	0.05679637162
523	0.05661433674
524	0.05644515428
525	0.05626649096
526	0.05609347065
527	0.0559720166
528	0.05582435147
529	0.05563371213
530	0.0554995921
531	0.05532569821
532	0.05518829216
533	0.05505833291
534	0.0548542639
535	0.05467121292
536	0.05452250764
537	0.05433035344
538	0.05421838053
539	0.05412855558
540	0.05397075878
541	0.05378076871
542	0.0536376165
543	0.05347695766
544	0.05335405219
545	0.05325139548
546	0.05312310212
547	0.05300160391
548	0.05284757987
549	0.05275064047
550	0.05255891
551	0.05244455178
552	0.05231291136
553	0.05215186274
554	0.05202728941
555	0.05193416753
556	0.05177874267
557	0.05163411913
558	0.05140106827
559	0.05128972435
560	0.05117805621
561	0.05101266945
